name
"21, ,Sc, ,Scandium, ,44.956"
"22, ,Ti, ,Titanium, ,47.867"
"23, ,V, ,Vanadium, ,50.942"
"24, ,Cr, ,Chromium, ,51.996"
"25, ,Mn, ,Manganese, ,54.938"
"26, ,Fe, ,Iron, ,55.845"
"27, ,Co, ,Cobalt, ,58.933"
"28, ,Ni, ,Nickel, ,58.693"
"29, ,Cu, ,Copper, ,63.546"
"30, ,Zn, ,Zinc, ,65.38"
"39, ,Y, ,Yttrium, ,88.906"
"40, ,Zr, ,Zirconium, ,91.224"
"41, ,Nb, ,Niobium, ,92.906"
"42, ,Mo, ,Molybdenum, ,95.95"
"43, ,Tc, ,Technetium, ,(98)"
"44, ,Ru, ,Ruthenium, ,101.07"
"45, ,Rh, ,Rhodium, ,102.91"
"46, ,Pd, ,Palladium, ,106.42"
"47, ,Ag, ,Silver, ,107.87"
"48, ,Cd, ,Cadmium, ,112.41"
"72, ,Hf, ,Hafnium, ,178.49"
"73, ,Ta, ,Tantalum, ,180.95"
"74, ,W, ,Tungsten, ,183.84"
"75, ,Re, ,Rhenium, ,186.21"
"76, ,Os, ,Osmium, ,190.23"
"77, ,Ir, ,Iridium, ,192.22"
"78, ,Pt, ,Platinum, ,195.08"
"79, ,Au, ,Gold, ,196.97"
"80, ,Hg, ,Mercury, ,200.59"
"104, ,Rf, ,Rutherfordium, ,(267)"
"105, ,Db, ,Dubnium, ,(268)"
"106, ,Sg, ,Seaborgium, ,(269)"
"107, ,Bh, ,Bohrium, ,(270)"
"108, ,Hs, ,Hassium, ,(277)"
"112, ,Cn, ,Copernicium, ,(285)"
